"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8802","Should upload Admin Profile picture","admin","Wed May 13 14:43:13 UTC 2026","passed","Wed May 13 14:43:22 UTC 2026","Admin Dashboard & Navigation Tests @admin","AdminPanel/admin_dashboard_navigation.spec.js","",""
"","5389","Navigation: Profile link should be accessible from home","chromium","Wed May 13 14:41:38 UTC 2026","passed","Wed May 13 14:41:43 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","11254","Cart: Continue shopping should navigate to home page","chromium","Wed May 13 14:36:12 UTC 2026","passed","Wed May 13 14:36:23 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","654","Login: Password visibility toggle works","chromium","Wed May 13 14:34:55 UTC 2026","passed","Wed May 13 14:34:56 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","607","Navigation: Contact link accessible from login page","chromium","Wed May 13 14:35:17 UTC 2026","passed","Wed May 13 14:35:18 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","9555","Orders: Should display appropriate message for new users","chromium","Wed May 13 14:40:39 UTC 2026","passed","Wed May 13 14:40:49 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","7498","Logout: User can logout from home page","chromium","Wed May 13 14:34:56 UTC 2026","passed","Wed May 13 14:35:03 UTC 2026","Authentication Tests @auth @smoke","auth.spec.js","",""
"","4116","Should search for a product","admin","Wed May 13 14:44:31 UTC 2026","passed","Wed May 13 14:44:35 UTC 2026","Admin Product Management @admin","AdminPanel/admin_products.spec.js","",""
"","4995","Profile: Logout should work from profile page","chromium","Wed May 13 14:40:18 UTC 2026","passed","Wed May 13 14:40:23 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","3164","Should update order status","admin","Wed May 13 14:43:22 UTC 2026","passed","Wed May 13 14:43:25 UTC 2026","Admin Order Management @admin","AdminPanel/admin_orders.spec.js","",""
"","1062","Should submit contact form with valid data","chromium","Wed May 13 14:39:04 UTC 2026","passed","Wed May 13 14:39:05 UTC 2026","Contact Form Tests @contact","contact.spec.js","",""
"","7523","authenticate as admin","setup","Wed May 13 14:34:12 UTC 2026","passed","Wed May 13 14:34:19 UTC 2026","","admin.setup.js","",""
"","10441","Cart: Should display order summary correctly","chromium","Wed May 13 14:35:32 UTC 2026","passed","Wed May 13 14:35:42 UTC 2026","Cart Management Tests @cart @regression","cart.spec.js","",""
"","5605","Profile: Should display user information","chromium","Wed May 13 14:40:06 UTC 2026","passed","Wed May 13 14:40:12 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","5011","Profile: Page should handle loading states","chromium","Wed May 13 14:42:10 UTC 2026","passed","Wed May 13 14:42:15 UTC 2026","User Profile & Settings @profile","profile.spec.js","",""
"","2232","Should filter orders by status","admin","Wed May 13 14:43:25 UTC 2026","passed","Wed May 13 14:43:27 UTC 2026","Admin Order Management @admin","AdminPanel/admin_orders.spec.js","",""
